trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,random,2,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,scalar_wald,0,-0.08902299387050028,0.6088292983355038,0.6978522922060041,1,0,0,0
0,random,2,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,shared_parameter_set,0,-0.25934236254818394,0.7791486670131875,1.0384910295613714,1,0,0,0
0,random,2,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,scalar_wald,0,-0.15586799507240157,0.6756742995374051,0.8315422946098067,1,0,0,0
0,random,2,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,shared_parameter_set,0,-0.38388665565430247,0.898251777097717,1.2821384327520193,1,0,0,0
0,random,2,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,scalar_wald,0,-0.28651275808303306,0.8063190625480365,1.0928318206310697,1,0,0,0
0,random,4,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,shared_parameter_set,0,0.3121426669986227,0.6745418253873139,0.3623991583886912,1,1,0,0
0,random,4,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,scalar_wald,0,0.3895404638322928,0.5971440285536438,0.207603564721351,1,1,0,0
0,random,4,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,shared_parameter_set,0,0.21723260729159483,0.7694518850943417,0.5522192778027468,1,1,0,0
0,random,4,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,scalar_wald,0,0.29611562169352845,0.6905688706924081,0.3944532489988797,1,1,0,0
0,random,4,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,shared_parameter_set,0,0.16308504310050764,0.8235994492854289,0.6605144061849213,1,1,0,0
0,random,4,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,scalar_wald,0,0.24020461415282435,0.7464798782331122,0.5062752640802879,1,1,0,0
0,random,4,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,shared_parameter_set,0,0.11664195724343396,0.8700425351425027,0.7534005778990688,1,1,0,0
0,random,4,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,scalar_wald,0,0.19171015334226976,0.7949743390436668,0.603264185701397,1,1,0,0
0,random,4,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,shared_parameter_set,0,0.02628803050820483,0.9436016972590262,0.9173136667508214,1,0,0,0
0,random,4,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4933422461929683,1,0,scalar_wald,0,0.0969304805768057,0.8897540118091309,0.7928235312323253,1,1,0,0
0,random,8,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,shared_parameter_set,0,0.3115771084524086,0.5476299792586898,0.23605287080628123,1,1,0,0
0,random,8,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,scalar_wald,0,0.361991055929278,0.49721603178182044,0.13522497585254245,0,1,0,0
0,random,8,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,shared_parameter_set,0,0.2497563466110958,0.6094507411000026,0.35969439448890683,1,1,0,0
0,random,8,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,scalar_wald,0,0.30113770767777415,0.5580693800333243,0.25693167235555014,1,1,0,0
0,random,8,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,shared_parameter_set,0,0.21448670627499855,0.6447203814360999,0.43023367516110134,1,1,0,0
