method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
random,shared_parameter_set,4,0.5,300,0.4633333333333333,0.7566666666666667,0.7050648160221181,0.8017784587492817,0.5133333333333333,0.4569640167618392,0.5693655040055061,154,8,0.02666666666666667,0.05194805194805195,0.026554932485162885,0.09915005636211943,4,1,0.37870755349777846,0.16
random,scalar_wald,4,0.5,300,0.4633333333333333,0.5133333333333333,0.4569640167618392,0.5693655040055061,0.6766666666666666,0.6217915462510746,0.7270746039162523,203,20,0.06666666666666667,0.09852216748768473,0.06468582633107285,0.1472709983338471,11,0,0.2295224233800124,0.16
random,shared_parameter_set,4,0.2,300,0.7866666666666666,0.9166666666666666,0.8798783980359391,0.9429191259436057,0.35333333333333333,0.30140830066923496,0.40896697088996514,106,3,0.01,0.02830188679245283,0.009671283865559842,0.07992565818488565,2,0,0.5604813179538343,0.16
random,scalar_wald,4,0.2,300,0.7866666666666666,0.8033333333333333,0.7546412316550143,0.8443553658020945,0.4866666666666667,0.43063449599449377,0.5430359832381607,146,7,0.023333333333333334,0.04794520547945205,0.02341602470846764,0.09565288292973068,4,0,0.42185597299155003,0.16
random,shared_parameter_set,4,0.1,300,0.9166666666666666,0.9733333333333334,0.9482710570494102,0.9864269301913529,0.28,0.23221902212795326,0.33334388521084696,84,0,0.0,0.0,-3.469446951953614e-18,0.04373172841465989,0,0,0.6607664138391227,0.16
random,scalar_wald,4,0.1,300,0.9166666666666666,0.89,0.8495437677561146,0.9205947146887394,0.38666666666666666,0.3333235932848012,0.44287548019276246,116,3,0.01,0.02586206896551724,0.008833887872088338,0.0732867648430863,2,0,0.5352737963014952,0.16
random,shared_parameter_set,4,0.05,300,0.9633333333333334,0.99,0.9710165066376601,0.9965933815622847,0.25666666666666665,0.21053333722579365,0.30895290877015197,77,0,0.0,0.0,0.0,0.04751842528243408,0,0,0.744099770262329,0.16
random,scalar_wald,4,0.05,300,0.9633333333333334,0.95,0.9191529665272558,0.9694683593706526,0.30666666666666664,0.2572057600770161,0.3610161887964749,92,0,0.0,0.0,0.0,0.04008138928562172,0,0,0.632359096957164,0.16
random,shared_parameter_set,4,0.01,300,0.9933333333333333,0.9966666666666667,0.9813633063054688,0.9994113422781488,0.19,0.14963485033440665,0.23820379182481183,57,0,0.0,0.0,0.0,0.06313883485297894,0,0,0.8992956673374571,0.16
random,scalar_wald,4,0.01,300,0.9933333333333333,0.99,0.9710165066376601,0.9965933815622847,0.23333333333333334,0.18902823823172718,0.28438134642136403,70,0,0.0,0.0,0.0,0.05202306241026692,0,0,0.8174632228716117,0.16
random,shared_parameter_set,8,0.5,300,0.48,0.7533333333333333,0.7015546972961404,0.7987061972834228,0.6366666666666667,0.5808316248758691,0.6890459629894217,191,6,0.02,0.031413612565445025,0.014475082091587845,0.06682927128667582,2,0,0.26096758908680767,0.11666666666666667
random,scalar_wald,8,0.5,300,0.48,0.5233333333333333,0.466878323217167,0.5791983381256874,0.7266666666666667,0.6736074258805683,0.7739944271643041,218,13,0.043333333333333335,0.05963302752293578,0.0351775419218425,0.09933950903576874,5,0,0.15052291568268622,0.11666666666666667
random,shared_parameter_set,8,0.2,300,0.7733333333333333,0.9233333333333333,0.8875898961498251,0.9483723882133924,0.49333333333333335,0.43720207035328285,0.5496331692630444,148,0,0.0,0.0,-1.734723475976807e-18,0.025299143267784395,0,0,0.3955774808931191,0.11666666666666667
random,scalar_wald,8,0.2,300,0.7733333333333333,0.8033333333333333,0.7546412316550143,0.8443553658020945,0.6133333333333333,0.5571245198072374,0.6666764067151987,184,6,0.02,0.03260869565217391,0.015028882061374337,0.0693053161510434,2,0,0.2857697258973953,0.11666666666666667
random,shared_parameter_set,8,0.1,300,0.9166666666666666,0.9666666666666667,0.9397381741959452,0.9817950526611452,0.42,0.3655060253806384,0.4765168500152888,126,0,0.0,0.0,1.734723475976807e-18,0.02958576448219845,0,0,0.4709223962798135,0.11666666666666667
random,scalar_wald,8,0.1,300,0.9166666666666666,0.89,0.8495437677561146,0.9205947146887394,0.53,0.4735002333859323,0.5857411883405951,159,1,0.0033333333333333335,0.006289308176100629,0.001111081403321116,0.03476098006676309,0,0,0.36643333190331745,0.11666666666666667
